If you liked,Recommendation 1,Recommendation 2,Recommendation 3,Recommendation 4,Recommendation 5
Bayer anuncia compra da Monsanto por US$ 66 bilhões,Bayer propõe comprar Monsanto para formar a maior agroquímica do mundo,"Carne artificial acabará com o agronegócio brasileiro, afirma especialista",Bradesco vai testar tecnologia por trás do bitcoin em São Paulo,Nubank começa a testar seu programa de fidelidade - Empresas Tech,"Google Slides incorpora recurso de ""perguntas e respostas"" em tempo real | Google Discovery"
Bradesco vai testar tecnologia por trás do bitcoin em São Paulo,How the queen of Silicon Valley is helping Google go after Amazon's most profitable business,The return of the machinery question,Diane Greene wants to put the enterprise front and center of Google Cloud strategy,Tech in Brazil is booming despite the country's political troubles,Is FinTech Forcing Banking to a Tipping Point?
Por que o segundo maior banco da Alemanha decidiu entrar no Brasil com R$ 240 milhões?,XP quer ter banco no Brasil e vai abrir escritório em Genebra este mês,Bancos brasileiros fecham 200 agências em 2015 - Home - iG,Measuring email effectiveness in retail banking,Starbucks tem mais dinheiro do cliente em cartões do que bancos,Abrimos uma conta no Original.
Robô acha de almoço de 12 kg a cervejas pagas pelo cidadão,Gartner Reprint,Olli: Artificial Intelligence for the real world of connected commuting,Ciclistas relatam roubos com agressividade na avenida dos Andradas,Google usa aprendizado de máquina para melhorar imagens de baixa qualidade | Google Discovery,"HoloLens, da Microsoft, engana o usuário para consertar conexões falhas do cérebro"
Welcome Google Cloud Platform!,Why and How to Avoid Hamburger Menus - Louie A. - Mobile UX Design,Google Cloud Platform's preemptible VMs are now up to 33% cheaper,An overview of web service solutions in Drupal 8,Making open source data more available,Accidental discovery could help batteries last years longer
Não existe frete grátis!,Mercado de Cosméticos no Brasil - Setor que não conhece crise!,From E-Commerce to Web 3.0: Let the Bots Do the Shopping,"Como o e-commerce brasileiro pode, enfim, começar a lucrar",Por que o Walmart não é Walmart no Brasil,Amazon causa polêmica com serviço que faz entregas em 1 hora em Paris
"Deep-learning algorithm predicts photos' memorability at ""near-human"" levels",The barbell effect of machine learning.,Artificial intelligence is changing SEO faster than you think,This Super Accurate Portrait Selection Tech Uses Neural Networks,Lists are the new search,Ordering coffee in Italy: the 10 commandments
Marketplace,2 terrific #MarTech talks on the rise of AI in marketing - Chief Marketing Technologist,"Google, Amazon and the upcoming battle over AI Assistants",Introduction to Natural Language Processing - University of Michigan | Coursera,Message buttons and the Slack API - Slack Platform Blog,Blaise Agüera y Arcas: How computers are learning to be creative
Conselho da SABMiller aceita proposta de compra da AB InBev,Startups apostam em aplicativos que conectam fretes e caminhoneiros,"Vale reverte prejuízo e tem lucro de R$ 1,8 bilhão no 3º trimestre",Ultrapar aprova investimento adicional de R$ 196 milhões para a Ipiranga,Top Asset Tracking Software: The 52 Best Tools and Software Solutions to Track Your Company's Vital Physical Assets,Gartner Reprint
Visa e Swatch lançam relógio para pagamentos contactless no Brasil - Startupi,Carteira inteligente tem trava biométrica e controle por aplicativo - Gadgets,Comercial japonês cria cidade de papel com caneta que conduz eletricidade,Smart Contact Lens-Eyeglass Combo Could Monitors Diabetes and Delivers Drugs,Aplicativos do Android agora podem reagir com o ambiente | Google Discovery,IoT a favor do relacionamento médico-paciente
Qual é a real diferença entre Data Storytelling e análise de dados? - CIO,Time to Re-Think Design Thinking,Why image recognition is about to transform business,You won't recognize the new world of digital payments without this report,Five questions boards should ask about IT in a digital world,7 Questions to Ask Before Your Next Digital Transformation
The Java 8 API Design Principles,Micro Profile JavaEE com Wildfly Swarm,Combining Spring Boot and JDBI,Java 9 na prática: Jigsaw,Kotlin no Backend (Parte 2) :: Concrete Solutions,"Kotlin in Production - What works, Whats broken"
Things you probably didn't know you could do with Chrome's Developer Console,Standing on the Shoulders of Giants - Built to Adapt,Google's cloud platform is now a force to be reckoned with,Why Learning Angular 2 Was Excruciating,How it feels to learn Javascript in 2016,Why Programmers Want Private Offices
Joel on Software,"AWS vs Packet.net Why we left AWS Benchmarking AWS's Network, Disk, and CPU Performance - Tiingo Thoughts","Meet Mycroft, the open source AI who wants to rival Siri, Cortana, and Alexa | ZDNet","Autofill: What web devs should know, but don't",The barbell effect of machine learning.,Up your app's sharing game with DirectShare - Google Developers
Hype Driven Development,"The Languages, Frameworks and Tools You Should Learn in 2017",How to Design a Walkthrough That Users Will Read,"Bots, Messenger and the future of customer service",Seniority,The Ten Commandments of Egoless Programming
Quando usar paginação e quando usar scroll infinito?,Designer Creates 13 Perfect Circles to Draw Almost Any Animal,Multi-Channel Marketing in 2015 - It's not rocket science.,What Color is Your Function?,Vision API - Image Content Analysis,Skill swarms - a new way to share expertise and work smarter together - Skillhive
XP quer ter banco no Brasil e vai abrir escritório em Genebra este mês,Por que o segundo maior banco da Alemanha decidiu entrar no Brasil com R$ 240 milhões?,Banco desafia empreendedores e estudantes de tecnologia a buscarem inovação para processos | EXAME.com,Banking Needs a Customer Experience Wake-Up Call,Visa Introduces NFC-Enabled Payment Ring for Team Visa Sponsored Athletes to Use at Rio 2016 Olympic Games,Starbucks tem mais dinheiro do cliente em cartões do que bancos
"The New App Store: Subscription Pricing, Faster Approvals, and Search Ads",Alecrim/AlecrimCoreData,CSS Containment in Chrome 52 | Web Updates - Google Developers,Notes on Reactive Programming Part I: The Reactive Landscape,This Super Accurate Portrait Selection Tech Uses Neural Networks,Design Patterns: Progressive Disclosure for Mobile Apps
Serverless Architectures,What to Inspect When You are Inspecting!,"Netflix OSS, Spring Cloud, or Kubernetes? How About All of Them!",Java vs .NET vs Python vs Ruby vs Node.JS: Who Reigns the Job Market? | Takipi Blog,Eclipse Foundation Releases Neon,The next wave in software is open adoption software
CSS Containment in Chrome 52 | Web Updates - Google Developers,Notes on Reactive Programming Part I: The Reactive Landscape,"The New App Store: Subscription Pricing, Faster Approvals, and Search Ads",Eclipse Foundation Releases Neon,15 Awesome Sublime Text Plugins For Web Development,"Apple's new file manager, APFS, is awesome"
Java 8 Streams : 10 missing features,Java Garbage Collection Essencial,The Ten Commandments of Egoless Programming,What's the Best Programming Language to Learn in 2017?,Don't document your code. Code your documentation.,Java 8 Streams - A Deeper Approach About Performance Improvement
Message buttons and the Slack API - Slack Platform Blog,This Super Accurate Portrait Selection Tech Uses Neural Networks,"Meet Mycroft, the open source AI who wants to rival Siri, Cortana, and Alexa | ZDNet",Marketplace,"Autofill: What web devs should know, but don't",Lists are the new search
Design Patterns: Progressive Disclosure for Mobile Apps,Making open source data more available,Alecrim/AlecrimCoreData,Ordering coffee in Italy: the 10 commandments,Cracking the Job Interview with TensorFlow,"The New App Store: Subscription Pricing, Faster Approvals, and Search Ads"
Bayer propõe comprar Monsanto para formar a maior agroquímica do mundo,"Carne artificial acabará com o agronegócio brasileiro, afirma especialista",Bayer anuncia compra da Monsanto por US$ 66 bilhões,Will blockchain drive the fourth Industrial Revolution?,Especial Agrishow: Soluções de agricultura de precisão elevam produtividade e aumentam a qualidade do plantio,Aplicativo gratuito permite gerenciar Consórcio Honda diretamente do celular - Notícias - Auto Estrada
SOA com microserviços - Sensedia,Building Spring Cloud Microservices That Strangle Legacy Systems,The Netflix Tech Blog: Engineering Trade-Offs and The Netflix API Re-Architecture,VMware Cloud™ on AWS - A Closer Look - frankdenneman.nl,"Zuul 2 : The Netflix Journey to Asynchronous, Non-Blocking Systems",Microservices testing
Nubank começa a testar seu programa de fidelidade - Empresas Tech,Bradesco lança serviço inédito para estimular o hábito de poupar,Banco desafia empreendedores e estudantes de tecnologia a buscarem inovação para processos | EXAME.com,Bradesco vai lançar novo banco digital: o Next.,Accenture amplia atuação no Brasil,CMN regulamenta abertura de conta de depósito por meio eletrônico
Mary Meeker's essential 2016 Internet Trends Report,Making open source data more available,The return of the machinery question,Using Honcho to Create a Multi-Process Docker Container,Design Patterns: Progressive Disclosure for Mobile Apps,Wide & Deep Learning: Better Together with TensorFlow
Copel faz propaganda genial sobre o Limite de Banda Larga residencial - Critical Hits,Powering a more connected and collaborative enterprise,Inteligência artificial da IBM criou 'trailer perfeito' para filme,Pesquisadores do MIT desenvolvem tecnologia que digitaliza livros fechados - Geek,The Physical Web,What is WebAssembly? The Dawn of a New Era - JavaScript Scene
"Elektro, Google e Sama lideram entre as melhores empresas para trabalhar em 2016",Bradesco vai lançar novo banco digital: o Next.,Itaú segue tendência das fintechs e se torna primeiro banco tradicional a permitir abertura de contas por app - Startupi,"GitLab launches Issue Boards, an open-source task management tool that resembles Trello",The next wave in software is open adoption software,The brilliant mechanics of Pokémon Go
How enterprise architects can help ensure success with digital transformations,"Amazon still crushing cloud competition, says Gartner Magic Quadrant for IaaS - TechRepublic",Using Honcho to Create a Multi-Process Docker Container,You won't recognize the new world of digital payments without this report,The Continuous Delivery Maturity Model,Serverless Architectures
The real reasons you procrastinate - and how to stop,Creating Compound Views on Android,Why Google App Engine rocks: A Google engineer's take,The Importance of Code Reviews,5 reasons your employees aren't sharing their knowledge,Seria Stranger Things uma obra de arte do algoritmo da Netflix?
